name|score|coords
Charlottesville|0.000599112220007|38.02931, -78.47668,
Kecamatan Martapura|0.000333350087828|-4.27884, 104.35034,
Fujiwara|0.000333350087828|40.35657, 140.78056,
Wuhan|0.00106304852872|30.58333, 114.26667,
Ford Island|0.000599112220007|-66.405, 110.51222,
Ngalung|0.000333350087828|-8.8643, 116.1824,
Kenmare|0.000333350087828|51.88333, -9.58333,
Republic of Nicaragua|0.00185574523484|13.0, -85.0,
Tanaka|0.000599112220007|38.39294, 141.06249,
Exeter|0.000333350087828|50.7236, -3.52751,
Vallejo|0.000648800501737|38.10409, -122.25664,
British Columbia|0.00251362851429|53.99983, -125.0032,
McMurdo Station|0.00106304852872|-77.846, 166.676,
Togiak|0.000333350087828|59.06194, -160.37639,
Yuma County|0.000599112220007|32.7694, -113.90556,
Nagpur|0.000333350087828|21.14631, 79.08491,
Battelle|0.000333350087828|39.67647, -80.31147,
Punta Cana|0.000333350087828|18.58182, -68.40431,
Huelva|0.000333350087828|37.2582, -6.92932,
Huizhou|0.000333350087828|23.11147, 114.41523,
Templeton|0.000333350087828|42.55564, -72.06758,
Fort Worth|0.000599112220007|32.72541, -97.32085,
Vail|0.000333350087828|39.64026, -106.3742,
Alpena Township Fire Department Station 1|0.000333350087828|45.11105, -83.44994,
Les Dourbes|0.000333350087828|44.06442, 6.31311,
Paris 01 Louvre|0.000333350087828|48.8592, 2.3417,
Pilbara|0.000333350087828|-21.25, 118.3,
Kenai Peninsula Borough|0.000333350087828|60.41667, -151.25056,
Langkawi|0.000333350087828|6.33333, 99.75,
United States Coast Guard Historic District|0.000599112220007|32.75839, -79.84376,
Central Oklahoma Community Mental Health|0.000333350087828|35.21904, -97.42776,
Baguio|0.000333350087828|16.41639, 120.59306,
Mongolia|0.00270786763068|46.0, 105.0,
Grinnell|0.000361573626475|41.74305, -92.72241,
Death Valley National Park Visitor Center|0.000333350087828|36.46189, -116.86672,
Autonomous Republic of Crimea|0.000333350087828|45.0, 34.0,
Leaton|0.000333350087828|52.76177, -2.79131,
Klawock Airport|0.000839363700678|55.57889, -133.07667,
Hemingford Grey|0.000333350087828|52.31756, -0.10029,
Grand Duchy of Luxembourg|0.00106304852872|49.75, 6.16667,
Nunivak Island National Wildlife Refuge|0.000333350087828|60.11389, -166.50833,
Fairley Baram Oil Field|0.000333350087828|4.80639, 113.96556,
Hampton Inn Kinston, N.C.|0.00166934878493|35.2448, -77.5848,
Onsan-eup|0.000333350087828|35.41667, 129.33333,
Jr Kyushu Blossom Shinjuku|0.000839363700678|35.688, 139.698,
Barrow County|0.00147596353441|33.9932, -83.71276,
Village of Mead|0.000333350087828|41.22873, -96.48882,
Village of Castalia|0.000333350087828|41.40099, -82.80805,
Ahmednagar Kalān|0.000333350087828|28.86631, 78.96884,
Cayman Islands|0.000333350087828|19.5, -80.66667,
Iowa City|0.000599112220007|41.66113, -91.53017,
Hainan Zangzu Zizhizhou|0.000333350087828|35.81725, 100.34053,
Flensburg|0.000333350087828|54.78431, 9.43961,
Tanjung Lumut|0.000599112220007|-3.83333, 105.95,
Cambridge|0.00286558188031|-31.93542, 115.79887,
Kushiro|0.000599112220007|42.975, 144.37472,
Miura|0.000333350087828|35.14, 139.61917,
Wakamatsu Ku|0.000333350087828|33.9164, 130.75172,
Republic of Poland|0.00472364540172|52.0, 20.0,
Synod of South Atlantic Presbyterian Church|0.00221088923455|30.32838, -81.65545,
Señal S.W. Base Sama|0.000599112220007|-17.91041, -70.63885,
Nain|0.000599112220007|17.96526, -77.60528,
Mount Weld|0.000599112220007|-28.77395, 122.44426,
Arlington Heights|0.000333350087828|42.08836, -87.98063,
Ban Pahang|0.000599112220007|20.72417, 104.48583,
Historic Columbia River Highway State Trail|0.0012744145064|45.70345, -121.4873,
Yellowstone County|0.000151209318621|45.93725, -108.27435,
Northern Region|0.000333350087828|9.5, -1.0,
Sierra Gorda|0.000333350087828|38.42669, -6.53784,
Republic of El Salvador|0.00106304852872|13.83333, -88.91667,
Kuskokwim Mountains|0.000333350087828|64.75, -151.5,
Whitehorse|0.000333350087828|60.71611, -135.05375,
New River Estuary|0.000333350087828|-46.46842, 168.33009,
State of Western Australia|0.00185574523484|-25.0, 122.0,
Gualala River|0.000333350087828|38.76852, -123.5339,
A.A. (Gus) Parish Memorial Park|0.000333350087828|-34.4485, 150.8512,
Great Barrier Island County|0.000333350087828|-36.16667, 175.41667,
Carteret County|0.000333350087828|34.86401, -76.53249,
L.P. Santa Maria di Sala|0.000333350087828|45.50604, 12.01696,
Narngulu|0.000333350087828|-28.82052, 114.69253,
Markham|0.000333350087828|43.86682, -79.2663,
Oktyabr’skiy|0.000333350087828|56.28423, 44.18996,
Sendai|0.000333350087828|38.26667, 140.86667,
Riley County|0.000333350087828|39.29646, -96.73518,
Plymouth County|0.000333350087828|42.73783, -96.21404,
Hobarton|0.000333350087828|43.07052, -94.28219,
Distrito Federal|0.000333350087828|19.28333, -99.13333,
Canberra|0.000839363700678|-35.28346, 149.12807,
Pass Creek Bridge|0.000333350087828|-42.21, 147.41,
Breton, Ilot|0.000333350087828|-66.80417, 141.3875,
Stillwater County|0.000333350087828|45.66944, -109.39477,
Lake Cavanaugh|0.000333350087828|48.32622, -122.02098,
Suitland|0.000599112220007|38.84872, -76.92386,
City of Baltic|0.000333350087828|43.76031, -96.73698,
Jackson Square|0.000333350087828|36.0248, -84.2402,
Fresnillo|0.000333350087828|23.18126, -102.87136,
Las Cabezas de San Juan|0.000333350087828|36.9838, -5.93933,
Univ|0.000599112220007|49.71224, 24.59114,
Las Juntas|0.000333350087828|19.43061, -104.70646,
Tukey|0.000333350087828|48.05398, -122.84295,
Pisco|0.000599112220007|-13.71029, -76.20538,
City and Borough of Wakefield|0.000333350087828|53.68085, -1.49895,
Democratic Republic of the Congo|0.00317078682449|-2.5, 23.5,
Saint Petersburg|0.000333350087828|59.93863, 30.31413,
Wood Mountain|0.000333350087828|49.36676, -106.38449,
Burrows Park|0.000333350087828|-33.8152, 151.1012,
Wenxi|0.000333350087828|28.15931, 120.38562,
Sakata|0.000333350087828|38.91667, 139.855,
Yeosu|0.000599112220007|34.76278, 127.66528,
Republic of Zimbabwe|0.0012744145064|-19.0, 29.75,
Dubuque County|0.000333350087828|42.46883, -90.88246,
Finch Bay Eco Hotel|0.000333350087828|-0.75275, -90.31129,
Ladang C.E. P. Niyor|0.00106304852872|2.094, 103.2561,
Ladang Pengerang|0.000333350087828|1.3893, 104.1242,
Belén Coyolar S.A.|0.00106304852872|15.69699, -91.89531,
Nikiski|0.000333350087828|60.69028, -151.28889,
Chongqing|0.000333350087828|29.56278, 106.55278,
Olthona|0.000333350087828|-31.26159, 27.70965,
Thành Phố Hạ Long|0.000333350087828|20.95045, 107.07336,
Mannington|0.000333350087828|39.53092, -80.34342,
Nova Scotia|0.00221088923455|45.00015, -62.99865,
Fajardo|0.000333350087828|18.32579, -65.65238,
Gujarat|0.000839363700678|27.04554, 86.25235,
Alabama|0.00301981070517|32.75041, -86.75026,
Trenton|0.000333350087828|40.21705, -74.74294,
Gusev|0.000333350087828|54.59222, 22.19972,
Corpus Christy|0.000333350087828|20.43278, -97.34,
Kingston|0.000333350087828|57.66667, -3.1,
Selangor|0.000839363700678|3.16667, 101.5,
Islamic Republic of Iran|0.00388324041514|32.0, 53.0,
Kampong Penjom|0.000333350087828|4.13333, 102.01667,
Ashtabula County|0.000333350087828|41.89638, -80.75901,
Copenhagen|0.000907965660339|55.67594, 12.56553,
Chattahoochee River National Recreation Area|0.000333350087828|33.97241, -84.26676,
Santa Rita|0.000333350087828|-7.10437, -34.97387,
Banjarmasin|0.000333350087828|-3.31987, 114.59075,
Andernach|0.000333350087828|50.43109, 7.40425,
Shenmu Xian|0.000333350087828|38.86611, 110.24722,
Kiel|0.000333350087828|54.32133, 10.13489,
Departamento de Izabal|0.000333350087828|15.5, -89.0,
City of Sanford|0.000333350087828|28.78923, -81.27597,
Nairobi|0.000839363700678|-1.28333, 36.81667,
Boulder Canyon|0.000333350087828|39.01989, -122.2997,
City of Wayland|0.000599112220007|42.67249, -85.64075,
Whittier|0.000599112220007|33.97918, -118.03284,
City of Hammond|0.000599112220007|41.62066, -87.49176,
State of Tasmania|0.000839363700678|-42.0, 147.0,
Berkeley County|0.00254639933493|39.46407, -78.02754,
Banjar Selasih|0.000333350087828|-8.3827, 115.2532,
Amena|0.000333350087828|-9.32278, 124.73389,
Nan Cadastre|0.000333350087828|18.56417, -72.16194,
Republic of Tajikistan|0.00106304852872|39.0, 71.0,
Suva|0.000599112220007|-18.14161, 178.44149,
Lockington|0.000333350087828|53.89716, -0.45165,
Gaimard Island|0.000333350087828|-14.43775, 125.2365,
Nuuk|0.000839363700678|64.18347, -51.72157,
Savanna-la-Mar|0.000599112220007|18.21895, -78.1332,
Spratly Islands|0.000333350087828|10.0, 114.0,
Erik Nielsen Whitehorse International Airport|0.000333350087828|60.70955, -135.06727,
Atlantic Ocean|0.00203603141362|10.0, -25.0,
Bohai|0.000599112220007|40.41184, 116.46838,
Municipio de Sanarate|0.000333350087828|14.78333, -90.2,
Khopoli|0.000333350087828|18.78562, 73.34589,
Gulf County|0.0012744145064|29.90862, -85.26101,
Washington|0.0113874759459|47.50012, -120.50147,
San Juan County Fire District 3 Cape San Juan|0.000333350087828|48.58678, -123.16494,
Hatteras Island|0.000333350087828|35.40823, -75.48682,
Ashville|0.000333350087828|33.83704, -86.25442,
Yingkou|0.000333350087828|40.66482, 122.22833,
Casa Grande|0.000333350087828|32.8795, -111.75735,
K.B.’s Camp|0.000599112220007|6.57455, 4.22309,
Linyi Shi|0.000333350087828|35.34222, 118.25333,
Federal Republic of Nigeria|0.00147596353441|10.0, 8.0,
Libya|0.000839363700678|28.0, 17.0,
East Atlantic Beach|0.000333350087828|40.78982, -73.74708,
Jackson|0.000333350087828|32.29876, -90.18481,
Peele|0.000333350087828|-15.24111, 40.04722,
Entiat River|0.000333350087828|47.66124, -120.22452,
Tabbs Creek Church|0.000333350087828|36.31209, -78.54417,
Raya de las Carolinas|0.000333350087828|17.84472, -95.19778,
Huangpu Qu|0.000333350087828|31.224, 121.47923,
Sydney|0.00221088923455|-33.86785, 151.20732,
Holiday Inn Daya Bay|0.000333350087828|22.71404, 114.53175,
Perryville|0.000599112220007|37.72422, -89.86122,
Cumberland Island National Seashore|0.000333350087828|30.85851, -81.45254,
Greymouth|0.000333350087828|-42.45, 171.2,
Neuse River|0.000333350087828|35.13127, -76.50382,
Town of Brownsburg|0.000333350087828|39.83418, -86.38365,
Makarov|0.000333350087828|48.62698, 142.77999,
Puntarenas|0.000599112220007|9.97625, -84.83836,
Satu Nou|0.000333350087828|46.62758, 27.23861,
Lapham Junction|0.000333350087828|44.29746, -90.47819,
Hayato|0.000333350087828|37.46436, 139.60141,
Geneva County|0.00147596353441|31.09502, -85.83898,
Lhokseumawe|0.000599112220007|5.1801, 97.1507,
Central Greece|0.00270786763068|38.35243, 23.13995,
Argentine Republic|0.000333350087828|-34.0, -64.0,
Sylhet|0.000333350087828|24.89904, 91.87198,
Fuzhou|0.000333350087828|26.06139, 119.30611,
Baltimore Washington Medical Center|0.000333350087828|39.13757, -76.62301,
C.A. Rosetti|0.00106304852872|45.3, 29.56667,
Mount Carmel|0.000333350087828|38.41088, -87.76142,
Chevak Airport|0.000333350087828|61.53706, -165.60272,
Europoort|0.000333350087828|51.94665, 4.12442,
La Sierrita|0.000333350087828|25.99028, -97.88889,
Central Highlands|0.000333350087828|-24.06336, 148.31958,
Sidoarjo|0.000333350087828|-7.4478, 112.7183,
Kampot|0.000333350087828|10.83333, 104.33333,
North Carolina|0.00428174320207|35.50069, -80.00032,
Somerset Int L Building|0.000333350087828|39.11532, 117.20318,
Atlantic County|0.00624418086183|39.46883, -74.63373,
Teheran|0.000333350087828|40.22449, -89.799,
Santa Rosa County|0.000333350087828|30.6929, -87.01845,
Kingdom of Thailand|0.00548843236721|15.5, 101.0,
Balkh|0.000599112220007|36.75, 67.0,
Marungu B.C.|0.00106304852872|-18.0006, 29.11262,
Mineola|0.000333350087828|40.74927, -73.64068,
Kota Administrasi Jakarta Pusat|0.000333350087828|-6.1777, 106.8403,
Aleutian Pribilof Islands Association Atka Health Clinic|0.000599112220007|52.19777, -174.20029,
Republic of Belarus|0.00185574523484|53.0, 28.0,
Rāj Bhavan Haryana|0.000599112220007|30.74253, 76.81141,
Connecticut|0.000839363700678|41.66704, -72.66648,
Franklin County|0.000333350087828|39.92742, -77.72127,
Northern California Coast Range Preserve (NCCRP)|0.000333350087828|39.73056, -123.62439,
Jagādhri Workshop Colony|0.000333350087828|30.13945, 77.25135,
Belize|0.00166934878493|17.25, -88.75,
B.F. Goodrich Plantation|0.000333350087828|6.75557, -10.93079,
Rio Grande Gorge Historical Marker|0.000333350087828|36.47641, -105.73307,
Georgia|0.00441039286828|41.99998, 43.4999,
Nob Hill|0.000333350087828|38.02042, -78.52501,
Tokyo|0.00185574523484|35.6895, 139.69171,
T.R. Funk Inc Airport|0.000839363700678|26.47896, -97.68721,
Kasab|0.000333350087828|24.72359, 88.81839,
State of Karnātaka|0.00106304852872|14.66667, 75.83333,
Anaheim|0.000333350087828|33.83529, -117.9145,
Villa Bertolli|0.000333350087828|43.4, 11.2,
Sarawak|0.000599112220007|2.5, 113.5,
Brindisi|0.000333350087828|40.63215, 17.93607,
G.S. Numero Dos|0.000599112220007|21.24583, -87.6,
Kedah|0.000599112220007|6.0, 100.66667,
Elim|0.000333350087828|64.6175, -162.26056,
Mediterranean Sea|0.000333350087828|35.23763, 23.65656,
Lifton|0.000333350087828|50.64296, -4.2875,
Caucasus Region|0.000333350087828|42.0, 45.0,
Jilin|0.000839363700678|43.85083, 126.56028,
Palmyra Atoll|0.000333350087828|5.875, -162.055,
South Honshu Ridge|0.000599112220007|24.0, 142.0,
Los Gatos|0.000333350087828|37.22661, -121.97468,
Tianjin|0.000839363700678|39.14222, 117.17667,
North P.E. Module|0.000333350087828|38.83028, -77.31278,
Latin America and the Caribbean|0.00238086345665|-8.05923, -72.59766,
Athens|0.000839363700678|37.97945, 23.71622,
Clarksburg|0.000333350087828|39.28065, -80.34453,
Oriental Republic of Uruguay|0.0012744145064|-33.0, -56.0,
Sítio Dengo|0.000333350087828|-23.37797, -50.02546,
Soroako|0.000599112220007|-2.5213, 121.357,
Fullerton|0.000333350087828|33.87029, -117.92534,
Anguilla|0.000599112220007|18.21667, -63.05,
Heidelberg|0.000333350087828|49.40768, 8.69079,
The National Archives|0.000333350087828|51.4809, -0.27987,
Newman|0.000333350087828|37.31383, -121.02076,
Harrisburg|0.000333350087828|40.2737, -76.88442,
Abono|0.000333350087828|4.11667, 11.43333,
Kunduz|0.000333350087828|36.75, 68.75,
Jakarta|0.000839363700678|-6.21462, 106.84513,
E.J. Fahey Park|0.000599112220007|-30.1818, 152.53461,
Igreja de N.S. do Perpétuo Socorro|0.000333350087828|-3.47444, -61.51028,
Town of Stony Creek|0.00106304852872|36.94801, -77.40007,
Bristol|0.000599112220007|51.45, -2.6,
Lake Varley|0.000333350087828|-32.76667, 119.45,
Republic of Cuba|0.00203603141362|22.0, -79.5,
Anyang|0.000599112220007|36.096, 114.38278,
Chefornak Airport|0.000333350087828|60.15708, -164.28577,
Ingeniero Guillermo N. Juárez|0.000333350087828|-23.9, -61.85,
Binzhou|0.000333350087828|37.36667, 118.01667,
Levelock|0.000333350087828|59.11417, -156.85889,
Matson|0.000333350087828|51.83671, -2.21533,
North Island|0.000333350087828|16.96361, 112.31028,
Piura|0.000333350087828|-5.0, -80.33333,
Ogdensburg|0.000599112220007|44.69423, -75.48634,
H̱orbat Damon|0.000333350087828|32.73224, 35.02371,
Woods Hole|0.000599112220007|41.52657, -70.67466,
Lake Wales Ridge|0.000333350087828|27.93363, -81.5498,
Anhui Sheng|0.00106304852872|31.91667, 117.16667,
John Day River Dam|0.000333350087828|44.44071, -118.783,
Fort St. John|0.000333350087828|56.24988, -120.85292,
Provinsi Maluku|0.000599112220007|-3.23846, 130.14527,
Nemo Riqian|0.000333350087828|49.48083, 124.73928,
Shenzhen|0.000333350087828|22.54554, 114.0683,
Federal Republic of Germany|0.00855174746966|51.5, 10.5,
Boulder County|0.0039239849772|40.09246, -105.3577,
Kodiak Island Borough|0.00106304852872|57.33333, -153.33333,
Bethel Census Area|0.0012744145064|60.75056, -160.50056,
Torrey|0.000333350087828|38.29887, -111.41907,
Philippi|0.000333350087828|39.15232, -80.04036,
Astoria|0.000333350087828|46.18788, -123.83125,
Pieter Willem Botha Lughawe|0.000333350087828|-34.0, 22.36667,
Baghdad|0.000333350087828|33.34058, 44.40088,
Bering|0.0012744145064|9.80966, 13.74922,
Flint|0.000333350087828|43.01253, -83.68746,
Leningradskaya Oblast’|0.000333350087828|60.0, 32.0,
Doha|0.000333350087828|25.27932, 51.52245,
Tampa|0.00238086345665|27.94752, -82.45843,
Labuan Bajo|0.000333350087828|-8.4964, 119.8877,
Avra Valley|0.000333350087828|32.43785, -111.31539,
Yangjiazhangzi|0.000333350087828|42.08977, 119.54408,
Menlo Park|0.000839363700678|37.45383, -122.18219,
Accomack County|0.000333350087828|37.76494, -75.75656,
Sturgis|0.000333350087828|44.40971, -103.50908,
Pebble Creek|0.000333350087828|28.14835, -82.34565,
Maui County|0.000333350087828|20.86774, -156.61706,
Missouri|0.00185574523484|38.25031, -92.50046,
New Zealand|0.00453709183794|-42.0, 174.0,
Village of Woodridge|0.000333350087828|41.73714, -88.04112,
Tongling Shi|0.000599112220007|30.93323, 117.90207,
North Pacific Playground|0.00301981070517|40.68528, -73.98222,
Endicott|0.000333350087828|42.09841, -76.04937,
Tampa-St. Petersburg-Clearwater|0.0012744145064|27.87307, -82.51007,
Molalla|0.000333350087828|45.14734, -122.57703,
New Africa Hotel|0.000333350087828|-6.81691, 39.29067,
Siberia|0.0012744145064|43.58404, 10.55334,
Glenora|0.000333350087828|57.84368, -131.38975,
San Marcos|0.000333350087828|14.96389, -91.79444,
Ban Xon|0.000333350087828|19.79811, 103.89193,
Xinzhou|0.000333350087828|38.40917, 112.73333,
Bangladesh|0.00286558188031|24.0, 90.0,
Ifrane Atlas Saghir|0.000333350087828|29.21752, -9.49688,
Fujian Sheng|0.000599112220007|26.25, 118.0,
Midway Island|0.000333350087828|38.49873, -77.36887,
Republic of Fiji|0.00147596353441|-18.0, 178.0,
Nambia|0.000333350087828|-8.16868, 27.28227,
Sultanate of Oman|0.000333350087828|21.0, 57.0,
